# Theoretical transmission filter for J-PLUS filter g_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4750
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3930.0 0.1980 0.1794
3930.1 0.1984 0.1798
3930.2 0.1987 0.1801
3930.3 0.1991 0.1804
3930.4 0.1994 0.1808
3930.5 0.1998 0.1811
3930.6 0.2002 0.1814
3930.7 0.2005 0.1818
3930.8 0.2009 0.1821
3930.9 0.2012 0.1824
3931.0 0.2016 0.1828
3931.1 0.2020 0.1831
3931.2 0.2023 0.1834
3931.3 0.2027 0.1838
3931.4 0.2030 0.1841
3931.5 0.2034 0.1844
3931.6 0.2038 0.1848
3931.7 0.2041 0.1851
3931.8 0.2045 0.1854
3931.9 0.2048 0.1858
3932.0 0.2052 0.1861
3932.1 0.2056 0.1864
3932.2 0.2059 0.1868
3932.3 0.2063 0.1871
3932.4 0.2066 0.1874
3932.5 0.2070 0.1878
3932.6 0.2074 0.1881
3932.7 0.2077 0.1884
3932.8 0.2081 0.1888
3932.9 0.2084 0.1891
3933.0 0.2088 0.1894
3933.1 0.2092 0.1898
3933.2 0.2095 0.1901
3933.3 0.2099 0.1904
3933.4 0.2102 0.1908
3933.5 0.2106 0.1911
3933.6 0.2110 0.1914
3933.7 0.2113 0.1918
3933.8 0.2117 0.1921
3933.9 0.2120 0.1924
3934.0 0.2124 0.1928
3934.1 0.2128 0.1931
3934.2 0.2131 0.1934
3934.3 0.2135 0.1938
3934.4 0.2138 0.1941
3934.5 0.2142 0.1944
3934.6 0.2146 0.1948
3934.7 0.2149 0.1951
3934.8 0.2153 0.1954
3934.9 0.2156 0.1958
3935.0 0.2160 0.1961
3935.1 0.2164 0.1964
3935.2 0.2167 0.1968
3935.3 0.2171 0.1971
3935.4 0.2174 0.1974
3935.5 0.2178 0.1978
3935.6 0.2182 0.1981
3935.7 0.2185 0.1984
3935.8 0.2189 0.1988
3935.9 0.2192 0.1991
3936.0 0.2196 0.1994
3936.1 0.2200 0.1998
3936.2 0.2203 0.2001
3936.3 0.2207 0.2005
3936.4 0.2210 0.2008
3936.5 0.2214 0.2011
3936.6 0.2218 0.2015
3936.7 0.2221 0.2018
3936.8 0.2225 0.2021
3936.9 0.2228 0.2025
3937.0 0.2232 0.2028
3937.1 0.2236 0.2031
3937.2 0.2239 0.2035
3937.3 0.2243 0.2038
3937.4 0.2246 0.2041
3937.5 0.2250 0.2045
3937.6 0.2254 0.2048
3937.7 0.2257 0.2051
3937.8 0.2261 0.2055
3937.9 0.2264 0.2058
3938.0 0.2268 0.2061
3938.1 0.2272 0.2065
3938.2 0.2275 0.2068
3938.3 0.2279 0.2071
3938.4 0.2282 0.2075
3938.5 0.2286 0.2078
3938.6 0.2290 0.2082
3938.7 0.2293 0.2085
3938.8 0.2297 0.2088
3938.9 0.2300 0.2092
3939.0 0.2304 0.2095
3939.1 0.2308 0.2098
3939.2 0.2311 0.2102
3939.3 0.2315 0.2105
3939.4 0.2318 0.2108
3939.5 0.2322 0.2112
3939.6 0.2326 0.2115
3939.7 0.2329 0.2118
3939.8 0.2333 0.2122
3939.9 0.2336 0.2125
3940.0 0.2340 0.2128
3940.1 0.2344 0.2132
3940.2 0.2347 0.2135
3940.3 0.2351 0.2139
3940.4 0.2354 0.2142
3940.5 0.2358 0.2145
3940.6 0.2362 0.2149
3940.7 0.2365 0.2152
3940.8 0.2369 0.2155
3940.9 0.2372 0.2159
3941.0 0.2376 0.2162
3941.1 0.2380 0.2165
3941.2 0.2383 0.2169
3941.3 0.2387 0.2172
3941.4 0.2390 0.2175
3941.5 0.2394 0.2179
3941.6 0.2398 0.2182
3941.7 0.2401 0.2186
3941.8 0.2405 0.2189
3941.9 0.2408 0.2192
3942.0 0.2412 0.2196
3942.1 0.2416 0.2199
3942.2 0.2419 0.2202
3942.3 0.2423 0.2206
3942.4 0.2426 0.2209
3942.5 0.2430 0.2212
3942.6 0.2434 0.2216
3942.7 0.2437 0.2219
3942.8 0.2441 0.2222
3942.9 0.2444 0.2226
3943.0 0.2448 0.2229
3943.1 0.2452 0.2233
3943.2 0.2455 0.2236
3943.3 0.2459 0.2239
3943.4 0.2462 0.2243
3943.5 0.2466 0.2246
3943.6 0.2470 0.2249
3943.7 0.2473 0.2253
3943.8 0.2477 0.2256
3943.9 0.2480 0.2259
3944.0 0.2484 0.2263
3944.1 0.2488 0.2266
3944.2 0.2491 0.2270
3944.3 0.2495 0.2273
3944.4 0.2498 0.2276
3944.5 0.2502 0.2280
3944.6 0.2506 0.2283
3944.7 0.2509 0.2286
3944.8 0.2513 0.2290
3944.9 0.2516 0.2293
3945.0 0.2520 0.2296
3945.1 0.2524 0.2300
3945.2 0.2527 0.2303
3945.3 0.2531 0.2307
3945.4 0.2534 0.2310
3945.5 0.2538 0.2313
3945.6 0.2542 0.2317
3945.7 0.2545 0.2320
3945.8 0.2549 0.2323
3945.9 0.2552 0.2327
3946.0 0.2556 0.2330
3946.1 0.2560 0.2334
3946.2 0.2563 0.2337
3946.3 0.2567 0.2340
3946.4 0.2570 0.2344
3946.5 0.2574 0.2347
3946.6 0.2578 0.2350
3946.7 0.2581 0.2354
3946.8 0.2585 0.2357
3946.9 0.2588 0.2360
3947.0 0.2592 0.2364
3947.1 0.2596 0.2367
3947.2 0.2599 0.2371
3947.3 0.2603 0.2374
3947.4 0.2606 0.2377
3947.5 0.2610 0.2381
3947.6 0.2614 0.2384
3947.7 0.2617 0.2387
3947.8 0.2621 0.2391
3947.9 0.2624 0.2394
3948.0 0.2628 0.2398
3948.1 0.2632 0.2401
3948.2 0.2635 0.2404
3948.3 0.2639 0.2408
3948.4 0.2642 0.2411
3948.5 0.2646 0.2414
3948.6 0.2650 0.2418
3948.7 0.2653 0.2421
3948.8 0.2657 0.2425
3948.9 0.2660 0.2428
3949.0 0.2664 0.2431
3949.1 0.2668 0.2435
3949.2 0.2671 0.2438
3949.3 0.2675 0.2441
3949.4 0.2678 0.2445
3949.5 0.2682 0.2448
3949.6 0.2686 0.2452
3949.7 0.2689 0.2455
3949.8 0.2693 0.2458
3949.9 0.2696 0.2462
3950.0 0.2700 0.2465
3950.1 0.2704 0.2468
3950.2 0.2707 0.2472
3950.3 0.2711 0.2475
3950.4 0.2714 0.2479
3950.5 0.2718 0.2482
3950.6 0.2722 0.2485
3950.7 0.2725 0.2489
3950.8 0.2729 0.2492
3950.9 0.2732 0.2496
3951.0 0.2736 0.2499
3951.1 0.2740 0.2502
3951.2 0.2743 0.2506
3951.3 0.2747 0.2509
3951.4 0.2750 0.2512
3951.5 0.2754 0.2516
3951.6 0.2758 0.2519
3951.7 0.2761 0.2523
3951.8 0.2765 0.2526
3951.9 0.2768 0.2529
3952.0 0.2772 0.2533
3952.1 0.2776 0.2536
3952.2 0.2779 0.2539
3952.3 0.2783 0.2543
3952.4 0.2786 0.2546
3952.5 0.2790 0.2550
3952.6 0.2794 0.2553
3952.7 0.2797 0.2556
3952.8 0.2801 0.2560
3952.9 0.2804 0.2563
3953.0 0.2808 0.2567
3953.1 0.2812 0.2570
3953.2 0.2815 0.2573
3953.3 0.2819 0.2577
3953.4 0.2822 0.2580
3953.5 0.2826 0.2584
3953.6 0.2830 0.2587
3953.7 0.2833 0.2590
3953.8 0.2837 0.2594
3953.9 0.2840 0.2597
3954.0 0.2844 0.2600
3954.1 0.2848 0.2604
3954.2 0.2851 0.2607
3954.3 0.2855 0.2611
3954.4 0.2858 0.2614
3954.5 0.2862 0.2617
3954.6 0.2866 0.2621
3954.7 0.2869 0.2624
3954.8 0.2873 0.2628
3954.9 0.2876 0.2631
3955.0 0.2880 0.2634
3955.1 0.2884 0.2638
3955.2 0.2887 0.2641
3955.3 0.2891 0.2645
3955.4 0.2894 0.2648
3955.5 0.2898 0.2651
3955.6 0.2902 0.2655
3955.7 0.2905 0.2658
3955.8 0.2909 0.2661
3955.9 0.2912 0.2665
3956.0 0.2916 0.2668
3956.1 0.2920 0.2672
3956.2 0.2923 0.2675
3956.3 0.2927 0.2678
3956.4 0.2930 0.2682
3956.5 0.2934 0.2685
3956.6 0.2938 0.2689
3956.7 0.2941 0.2692
3956.8 0.2945 0.2695
3956.9 0.2948 0.2699
3957.0 0.2952 0.2702
3957.1 0.2956 0.2706
3957.2 0.2959 0.2709
3957.3 0.2963 0.2712
3957.4 0.2966 0.2716
3957.5 0.2970 0.2719
3957.6 0.2974 0.2723
3957.7 0.2977 0.2726
3957.8 0.2981 0.2729
3957.9 0.2984 0.2733
3958.0 0.2988 0.2736
3958.1 0.2992 0.2740
3958.2 0.2995 0.2743
3958.3 0.2999 0.2746
3958.4 0.3002 0.2750
3958.5 0.3006 0.2753
3958.6 0.3010 0.2757
3958.7 0.3013 0.2760
3958.8 0.3017 0.2763
3958.9 0.3020 0.2767
3959.0 0.3024 0.2770
3959.1 0.3028 0.2774
3959.2 0.3031 0.2777
3959.3 0.3035 0.2780
3959.4 0.3038 0.2784
3959.5 0.3042 0.2787
3959.6 0.3046 0.2791
3959.7 0.3049 0.2794
3959.8 0.3053 0.2797
3959.9 0.3056 0.2801
3960.0 0.3060 0.2804
3960.1 0.3064 0.2808
3960.2 0.3067 0.2811
3960.3 0.3071 0.2814
3960.4 0.3074 0.2818
3960.5 0.3078 0.2821
3960.6 0.3082 0.2825
3960.7 0.3085 0.2828
3960.8 0.3089 0.2831
3960.9 0.3092 0.2835
3961.0 0.3096 0.2838
3961.1 0.3100 0.2842
3961.2 0.3103 0.2845
3961.3 0.3107 0.2848
3961.4 0.3110 0.2852
3961.5 0.3114 0.2855
3961.6 0.3118 0.2859
3961.7 0.3121 0.2862
3961.8 0.3125 0.2865
3961.9 0.3128 0.2869
3962.0 0.3132 0.2872
3962.1 0.3136 0.2876
